Object ID,Category
2792000,MostlyStraight
2349000,Turns45deg
4684000,Turns85deg
160000,TurnsRandom
1587000,Burst
7647000,Back-forth
8984000,Dead
2792001,MostlyStraight
2349001,Turns45deg
4684001,Turns85deg
160001,TurnsRandom
1587001,Burst
7647001,Back-forth
8984001,Dead
2792002,MostlyStraight
2349002,Turns45deg
4684002,Turns85deg
160002,TurnsRandom
1587002,Burst
7647002,Back-forth
8984002,Dead
2792003,MostlyStraight
2349003,Turns45deg
4684003,Turns85deg
160003,TurnsRandom
1587003,Burst
7647003,Back-forth
8984003,Dead
2792004,MostlyStraight
2349004,Turns45deg
4684004,Turns85deg
160004,TurnsRandom
1587004,Burst
7647004,Back-forth
8984004,Dead
2792005,MostlyStraight
2349005,Turns45deg
4684005,Turns85deg
160005,TurnsRandom
1587005,Burst
7647005,Back-forth
8984005,Dead
2792006,MostlyStraight
2349006,Turns45deg
4684006,Turns85deg
160006,TurnsRandom
1587006,Burst
7647006,Back-forth
8984006,Dead
2792007,MostlyStraight
2349007,Turns45deg
4684007,Turns85deg
160007,TurnsRandom
1587007,Burst
7647007,Back-forth
8984007,Dead
2792008,MostlyStraight
2349008,Turns45deg
4684008,Turns85deg
160008,TurnsRandom
1587008,Burst
7647008,Back-forth
8984008,Dead
2792009,MostlyStraight
2349009,Turns45deg
4684009,Turns85deg
160009,TurnsRandom
1587009,Burst
7647009,Back-forth
8984009,Dead
2792010,MostlyStraight
2349010,Turns45deg
4684010,Turns85deg
160010,TurnsRandom
1587010,Burst
7647010,Back-forth
8984010,Dead
2792011,MostlyStraight
2349011,Turns45deg
4684011,Turns85deg
160011,TurnsRandom
1587011,Burst
7647011,Back-forth
8984011,Dead
2792012,MostlyStraight
2349012,Turns45deg
4684012,Turns85deg
160012,TurnsRandom
1587012,Burst
7647012,Back-forth
8984012,Dead
2792013,MostlyStraight
2349013,Turns45deg
4684013,Turns85deg
160013,TurnsRandom
1587013,Burst
7647013,Back-forth
8984013,Dead
2792014,MostlyStraight
2349014,Turns45deg
4684014,Turns85deg
160014,TurnsRandom
1587014,Burst
7647014,Back-forth
8984014,Dead
2792015,MostlyStraight
2349015,Turns45deg
4684015,Turns85deg
160015,TurnsRandom
1587015,Burst
7647015,Back-forth
8984015,Dead
2792016,MostlyStraight
2349016,Turns45deg
4684016,Turns85deg
160016,TurnsRandom
1587016,Burst
7647016,Back-forth
8984016,Dead
2792017,MostlyStraight
2349017,Turns45deg
4684017,Turns85deg
160017,TurnsRandom
1587017,Burst
7647017,Back-forth
8984017,Dead
2792018,MostlyStraight
2349018,Turns45deg
4684018,Turns85deg
160018,TurnsRandom
1587018,Burst
7647018,Back-forth
8984018,Dead
2792019,MostlyStraight
2349019,Turns45deg
4684019,Turns85deg
160019,TurnsRandom
1587019,Burst
7647019,Back-forth
8984019,Dead
2792020,MostlyStraight
2349020,Turns45deg
4684020,Turns85deg
160020,TurnsRandom
1587020,Burst
7647020,Back-forth
8984020,Dead
2792021,MostlyStraight
2349021,Turns45deg
4684021,Turns85deg
160021,TurnsRandom
1587021,Burst
7647021,Back-forth
8984021,Dead
2792022,MostlyStraight
2349022,Turns45deg
4684022,Turns85deg
160022,TurnsRandom
1587022,Burst
7647022,Back-forth
8984022,Dead
2792023,MostlyStraight
2349023,Turns45deg
4684023,Turns85deg
160023,TurnsRandom
1587023,Burst
7647023,Back-forth
8984023,Dead
2792024,MostlyStraight
2349024,Turns45deg
4684024,Turns85deg
